 397584178,"00001M13:13:45.995","00001 13:47:03",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584179,"00001M13:13:46.968","00001 13:47:04",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584180,"00001M13:13:47.941","00001 13:47:05",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584181,"00001M13:13:48.914","00001 13:47:06",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584182,"00001M13:13:49.888","00001 13:47:07",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584183,"00001M13:13:50.861","00001 13:47:08",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584184,"00001M13:13:51.834","00001 13:47:09",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584185,"00001M13:13:52.807","00001 13:47:10",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584186,"00001M13:13:53.781","00001 13:47:11",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
 397584187,"00001M13:13:54.754","00001 13:47:12",    UNK,    UNK,    UNK,"     UNK",    UNK,    UNK,    UNK,"     UNK",    UNK,"     UNK",    UNK,"     UNK",    UNK,"         UNK",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",    UNK,    UNK,    UNK,     UNK,    UNK,"     UNK","  ",    UNK,    UNK,"     UNK"
