 398291736,"00009M12:30:59.170","00009 13:05:30",    UNK,    UNK,    UNK,"     UNK", 280.04,   4.96,   0.57,"    0111", 256.94,"101XX001", 251.87,"101XX111", 251.87,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.23, 253.98,   2.00,  361.16,   NULL,"     0X1","2H", 714.57,   2.70,"      11"
 398291737,"00009M12:31:00.143","00009 13:05:31",    UNK,    UNK,    UNK,"     UNK", 277.00,   4.95,   0.55,"    0111", 257.09,"101XX001", 251.86,"101XX111", 251.86,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.23, 253.99,   2.00,  358.52,   NULL,"     0X1","2H", 714.53,   2.70,"      11"
 398291738,"00009M12:31:01.117","00009 13:05:32",    UNK,    UNK,    UNK,"     UNK", 279.29,   4.96,   0.56,"    0111", 257.24,"101XX001", 251.84,"101XX111", 251.84,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.01,   2.00,  325.51,   NULL,"     0X1","2H", 714.58,   2.70,"      11"
 398291739,"00009M12:31:02.090","00009 13:05:33",    UNK,    UNK,    UNK,"     UNK", 277.75,   4.93,   0.55,"    0111", 257.39,"101XX001", 251.81,"101XX111", 251.81,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.20, 254.03,   2.00,  320.10,   NULL,"     0X1","2H", 714.56,   2.70,"      11"
 398291740,"00009M12:31:03.063","00009 13:05:34",    UNK,    UNK,    UNK,"     UNK", 279.08,   4.94,   0.56,"    0111", 257.53,"101XX001", 251.77,"101XX111", 251.77,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 254.04,   2.00,  339.85,   NULL,"     0X1","2H", 714.55,   2.70,"      11"
 398291741,"00009M12:31:04.036","00009 13:05:35",    UNK,    UNK,    UNK,"     UNK", 275.41,   4.92,   0.54,"    0111", 257.67,"101XX001", 251.73,"101XX111", 251.73,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 254.05,   2.00,  350.24,   NULL,"     0X1","2H", 714.51,   2.70,"      11"
 398291742,"00009M12:31:05.010","00009 13:05:36",    UNK,    UNK,    UNK,"     UNK", 278.36,   4.95,   0.55,"    0111", 257.81,"101XX001", 251.69,"101XX111", 251.69,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.07,   2.00,  331.21,   NULL,"     0X1","2H", 714.47,   2.70,"      11"
 398291743,"00009M12:31:05.983","00009 13:05:37",    UNK,    UNK,    UNK,"     UNK", 279.19,   4.96,   0.56,"    0111", 257.94,"101XX001", 251.67,"101XX111", 251.67,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.09,   2.00,  329.74,   NULL,"     0X1","2H", 714.49,   2.70,"      11"
 398291744,"00009M12:31:06.956","00009 13:05:38",    UNK,    UNK,    UNK,"     UNK", 277.44,   4.95,   0.55,"    0111", 258.07,"101XX001", 251.67,"101XX111", 251.67,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.10,   2.00,  324.51,   NULL,"     0X1","2H", 714.52,   2.70,"      11"
 398291745,"00009M12:31:07.929","00009 13:05:39",    UNK,    UNK,    UNK,"     UNK", 278.09,   4.94,   0.55,"    0111", 258.19,"101XX001", 251.69,"101XX111", 251.69,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 254.10,   2.00,  348.40,   NULL,"     0X1","2H", 714.60,   2.70,"      11"
 398291746,"00009M12:31:08.903","00009 13:05:40",    UNK,    UNK,    UNK,"     UNK", 279.33,   4.95,   0.56,"    0111", 258.31,"101XX001", 251.73,"101XX111", 251.73,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 254.11,   2.00,  352.11,   NULL,"     0X1","2H", 714.60,   2.70,"      11"
 398291747,"00009M12:31:09.876","00009 13:05:41",    UNK,    UNK,    UNK,"     UNK", 278.66,   4.94,   0.55,"    0111", 258.42,"101XX001", 251.79,"101XX111", 251.79,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.13,   2.00,  329.81,   NULL,"     0X1","2H", 714.58,   2.70,"      11"
 398291748,"00009M12:31:10.849","00009 13:05:42",    UNK,    UNK,    UNK,"     UNK", 276.30,   4.92,   0.54,"    0111", 258.53,"101XX001", 251.85,"101XX111", 251.85,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.18, 254.16,   2.00,  289.81,   NULL,"     0X1","2H", 714.51,   2.70,"      11"
 398291749,"00009M12:31:11.823","00009 13:05:43",    UNK,    UNK,    UNK,"     UNK", 278.43,   4.95,   0.55,"    0111", 258.63,"101XX001", 251.92,"101XX111", 251.92,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.16,   2.00,  333.02,   NULL,"     0X1","2H", 714.52,   2.70,"      11"
