 398423027,"00011M00:00:38.572","00011 00:35:23",   1.00                                                                                              
 398423103,"00011M00:01:52.540","00011 00:36:37",  46.70, 165.32,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423104,"00011M00:01:53.513","00011 00:36:38",  46.69, 165.32,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423105,"00011M00:01:54.486","00011 00:36:39",  46.69, 165.31,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423106,"00011M00:01:55.459","00011 00:36:40",  46.68, 165.31,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423107,"00011M00:01:56.433","00011 00:36:41",  46.67, 165.30,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423108,"00011M00:01:57.406","00011 00:36:42",  46.67, 165.30,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423109,"00011M00:01:58.379","00011 00:36:43",  46.66, 165.30,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423110,"00011M00:01:59.352","00011 00:36:44",  46.66, 165.29,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423111,"00011M00:02:00.326","00011 00:36:45",  46.65, 165.29,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423112,"00011M00:02:01.299","00011 00:36:46",  46.64, 165.29,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423113,"00011M00:02:02.272","00011 00:36:47",  46.64, 165.28,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423114,"00011M00:02:03.245","00011 00:36:48",  46.63, 165.28,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423115,"00011M00:02:04.219","00011 00:36:49",  46.62, 165.28,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423116,"00011M00:02:05.192","00011 00:36:50",  46.62, 165.27,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423117,"00011M00:02:06.165","00011 00:36:51",  46.61, 165.27,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423118,"00011M00:02:07.138","00011 00:36:52",  46.60, 165.26,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423119,"00011M00:02:08.112","00011 00:36:53",  46.60, 165.26,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423120,"00011M00:02:09.085","00011 00:36:54",  46.59, 165.26,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423121,"00011M00:02:10.058","00011 00:36:55",  46.59, 165.25,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423122,"00011M00:02:11.031","00011 00:36:56",  46.58, 165.25,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423123,"00011M00:02:12.005","00011 00:36:57",  46.57, 165.25,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423124,"00011M00:02:12.978","00011 00:36:58",  46.57, 165.24,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423125,"00011M00:02:13.951","00011 00:36:59",  46.56, 165.24,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423126,"00011M00:02:14.924","00011 00:36:59",  46.55, 165.24,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423127,"00011M00:02:15.898","00011 00:37:00",  46.55, 165.23,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423128,"00011M00:02:16.871","00011 00:37:01",  46.54, 165.23,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423129,"00011M00:02:17.844","00011 00:37:02",  46.53, 165.22,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423130,"00011M00:02:18.818","00011 00:37:03",  46.53, 165.22,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423131,"00011M00:02:19.791","00011 00:37:04",  46.52, 165.22,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
